Bigram-2 Words
way germany
germany compiled
compiled tip
tip protect
protect specialized
specialized counselling
counselling go
go state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine proves
proves true
true moron
moron fm
fm goal
goal strategic
strategic quintessence
quintessence wests
wests strategic
strategic course
course marginalise
marginalise contain
contain stop
stop development
development reduce
reduce zero
zero role
role world
world politics
politics economy
economy trade
trade world
world sport
sport art
art science
science education
education comparing
comparing inhumane
inhumane monstrous
monstrous assault
assault grotesque
grotesque insensitive
insensitive crass
crass also
also sound
sound drunk
drunk stumble
stumble delivering
delivering repulsive
repulsive claimsbrexit
claimsbrexit russian
russian offensive
offensive destabilise
destabilise west
west would
would imagined
imagined would
would repeat
repeat year
year later
later living
living memory
memory russia
russia would
would led
led fascist
fascist different
different symbol
symbol meaning
meaning red
red line
line putin
putin act
act impunity
impunity hitler
hitler another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better want
want start
start worried
worried using
using stupid
stupid nuclear
nuclear power
power went
went send
send men
men war
war zone
zone die
die weapon
weapon without
without west
west suffering
suffering real
real consequence
consequence even
even stupider
stupider media
media fmr
fmr saceur
saceur us
us nuclear
nuclear threat
threat out-maneuver
out-maneuver there's
there's discussion
discussion no-fly
no-fly zone
zone putin
putin say
say would
would act
act war
war got
got thinking
thinking public
public acting
acting private
private keep
keep fight
fight village
village near
near freed
freed occupier
occupier last
last hour
hour direction
direction thrown
thrown back
back km
km capital
capital never
never forget
forget republicans
republicans chance
chance impeach
impeach convict
convict donald
donald trump
trump blackmailing
blackmailing volodymyr
volodymyr zelensky
zelensky gop
gop house
house member
member gop
gop senators
senators refused
refused mattered
mattered abandoned
abandoned constitution
constitution feb
feb military
military damaged
damaged destroyed
destroyed hospital
hospital attack
attack medical
medical personnelthese
personnelthese crime
crime humanitythe
humanitythe time
time come
come name
name russia
russia state
state sponsor
sponsor terrorism
terrorism people
people occupied
occupied rallied
rallied street
street protest
protest russian
russian invasion
invasion force
force signing
signing ukrainian
ukrainian national
national anthem
anthem behind
behind roadblock
roadblock they've
they've installed
installed marked
marked man
man end
end anytime
anytime choosing
choosing keep
keep killing
killing innocent
innocent act
act genocide
genocide evil
evil man
man must
must stopped
stopped deserves
deserves peace
peace ask
ask war
war what's
what's right
right top
top producer
producer sunflower
sunflower oil
oil grain
grain tomato
tomato world
world must
must prepare
prepare shortage
shortage produce
produce harvest
harvest year
year thank
thank putins
putins soldier
soldier sooner
sooner realize
realize leave
leave better
better everyone
everyone sound
sound intriguing
intriguing sure
sure many
many people
people trying
trying increase
increase understanding
understanding ukrainian
ukrainian history
history raising
raising money
money thru
thru much
much better
better idea
idea driving
driving truck
truck talked
talked pm
pm additional
additional support
support strengthening
strengthening sanction
sanction stop
stop aggressor
aggressor save
save life
life ukrainians
ukrainians grateful
grateful diplomatic
diplomatic effort
effort provide
provide peace
peace humanitarian
humanitarian aid
aid support
support citizen
citizen temporarily
temporarily left
left attack
attack multiple
multiple missile
missile march
march recorded
recorded magnetometer
magnetometer conrad
conrad observatory
observatory wien
wien peak
peak attack
attack time
time missiles
missiles launched
launched video
video ukrainian
ukrainian serviceman
serviceman launching
launching javelin
javelin anti-tank
anti-tank missile
missile russian
russian target
target see
see soldier
soldier defend
defend mr
mr 
 
 another
another example
example liberation
liberation urgent
urgent staff
staff member
member embassy
embassy ukraine
ukraine left
left territory
territory today
today led
led ambassadorwhat
ambassadorwhat could
could mean
mean diplomacy
diplomacy thought
thought invasion
invasion putin
putin made
made soldier
soldier hate
hate see
see soldier
soldier defend
defend state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine region
region east
east top
top news
news update
update world's
world's effect
effect russians
russians panic
panic understand
understand made
made complicit
complicit international
international crime
crime theyre
theyre afraid
afraid video
video show
show russians
russians fighting
fighting sugar
sugar deficit
deficit serf
serf right
right hello
hello tomorrow
tomorrow we're
we're closing
closing mint
mint dapp
dapp ukrainian
ukrainian daturians
daturians best
best chance
chance join
join good
good cause
cause matic
matic yet
yet sale
sale go
go official
official crypto
crypto wallet
wallet russian
russian cosmonauts
cosmonauts arrive
arrive international
international space
space station
station ukrainian
ukrainian colored
colored suit
suit suggesting
suggesting disagreement
disagreement russian
russian space
space agency
agency regarding
regarding putin's
putin's invasion
invasion thought
thought invasion
invasion office
office metro
metro threatened
threatened ukraine
ukraine blockade
blockade supply
supply due
due pressure
pressure leave
leave russia
russia say
say former
former cabinet
cabinet minister
minister dmytro
dmytro dubiletmetro
dubiletmetro belief
belief sale
sale effect
effect war
war russia
russia mined
mined route
route bosporus
bosporus odessa
odessa claimed
claimed ukrainian
ukrainian mine
mine announced
announced head
head theproject
theproject institute
institute black
black sea
sea strategic
strategic studies
studies andrei
andrei klimenko
klimenko three
three pistol-packing
pistol-packing mamas
mamas way
way help
help real
real freedom
freedom fighters
fighters cgs
cgs flas
flas alum
alum featured
featured reporting
reporting map
map update
update according
according ukrainian
ukrainian mod
mod russian
russian force
force south
south east
east northeast
northeast city
city making
making position
position trench
trench regroups
regroups deploys
deploys reserve
reserve prepare
prepare offensive
offensive operation
operation gentle
gentle reminder
reminder people
people saying
saying exact
exact asshole
asshole shrugged
shrugged shoulder
shoulder biden
biden fled
fled afghanistan
afghanistan less
less two
two hours
hours begin
begin charity
charity event
event fund
fund giving
giving away
away n
n controller
controller switch
switch reach
reach check
check incentive
incentive milestone
milestone good
good day
day let's
let's good
good today
today inspire
inspire ukrainians
ukrainians today
today good
good old
old moviesrememberthe
moviesrememberthe force
force always
always obi
obi wan
wan kenobi
kenobi starwars
starwars smile
smile hug
hug people
people need
need arrive
arrive yes
yes tired
tired yes
yes cold
cold helping
helping seriously
seriously friendliest
friendliest face
face arriving
arriving romania
romania aid
aid hug
hug neutral
neutral status
status option
option neutral
neutral annexed
annexed started
started war
war strengthening
strengthening border
border strengthening
strengthening army
army according
according standard
standard top
top priority
priority today
today year
year thought
thought invasion
invasion state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine year
year soviet
soviet war
war afghanistan
afghanistan ussr
ussr lost
lost fighter
fighter jet
jet day
day war
war russia
russia loses
loses fighter
fighter jet
jet ukrainian
ukrainian air
air force
force got
got skill
skill small
small town
town western
western people
people knee
knee pay
pay respect
respect defender
defender killed
killed battle
battle near
near russian
russian invadersunlike
invadersunlike memory
memory soldier
soldier eternal
eternal rest
rest peace
peace hero
hero redrawn
redrawn world
world way
way wantedvladimir
wantedvladimir putin's
putin's invasion
invasion ukraine
ukraine changed
changed world
world living
living new
new dangerous
dangerous time
time post-cold
post-cold war
war era
era began
began fall
fall berlin
berlin wall
wall comparing
comparing inhumane
inhumane monstrous
monstrous assault
assault grotesque
grotesque insensitive
insensitive crass
crass also
also sound
sound drunk
drunk stumble
stumble delivering
delivering repulsive
repulsive claimsbrexit
claimsbrexit russian
russian offensive
offensive destabilise
destabilise west
west urgent
urgent staff
staff member
member embassy
embassy ukraine
ukraine left
left territory
territory today
today led
led ambassadorwhat
ambassadorwhat could
could mean
mean diplomacy
diplomacy proves
proves true
true moron
moron usa
usa fight
fight russia
russia last
last ukranian
ukranian kazakh
kazakh warrior
warrior ukraine
ukraine fighting
fighting putinthis
putinthis young
young fighter
fighter kazakhstan
kazakhstan example
example entire
entire nation
nation putin's
putin's zombie
zombie hundred
hundred thousand
thousand million
million kazakhstanfascists
kazakhstanfascists support
support russia's
russia's war
war ukrainehonor
ukrainehonor general
general andrey
andrey mordvichev
mordvichev dead
dead burn
burn hell
hell mf
mf palestinians
palestinians right
right self-defense
self-defense us
us defends
defends team
team working
working provide
provide urgently
urgently needed
needed emergency
emergency medical
medical mental
mental health
health care
care vulnerable
vulnerable people
people fleeing
fleeing conflict
conflict help
help people
people receive
receive lifesaving
lifesaving care
care deserve
deserve donate
donate russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato russian
russian fm
fm sergey
sergey lavrov
lavrov denazification
denazification remains
remains absolute
absolute demand
demand denazification
denazification implies
implies abolition
abolition law
law discriminate
discriminate russian-speaking
russian-speaking population
population country
country asb
asb military
military news
news laptop
laptop story
story story
story hunter
hunter story
story joe
joe biden
biden president
president united
united states
states biden
biden converted
converted son
son bag
bag man
man collect
collect split
split million
million graft
graft took
took doling
doling political
political favor
favor shelling
shelling keep
keep cowardly
cowardly attacking
attacking civilian
civilian infrastructurehelp
infrastructurehelp stop
stop committing
committing fantastic
fantastic convo
convo tipping
tipping point
point new
new global
global order
order v
v v
v 
 
 listen
listen alleged
alleged footage
footage ru
ru hypersonic
hypersonic missile
missile kinzhal
kinzhal deployed
deployed targeting
targeting underground
underground weapon
weapon depot
depot western
western part
part country
country seen
seen message
message nato
nato lacking
lacking system
system nuclear
nuclear deployable
deployable interceptable
interceptable x
x speed
speed x
x payload
payload western
western system
system km
km range
range sadly
sadly skin
skin color
color war
war victim
victim seems
seems biggest
biggest indicator
indicator solidarity
solidarity hushed
hushed west
west showing
showing solidarity
solidarity high
high tech
tech weaponry
weaponry van
van vu
vu proud
proud tell
tell vietnam
vietnam defeated
defeated gen
gen westmoreland
westmoreland imperialist
imperialist aggressor
aggressor even
even agent
agent orange
orange napalm
napalm afghanistan
afghanistan irak
irak ebenso
ebenso please
please boycott
boycott nestle
nestle product
product please
please maximum
maximum repost
repost stop
stop war
war sobering
sobering conversation
conversation visual
visual coverage
coverage thank
thank time
time tzm-t
tzm-t reloader
reloader vehicle
vehicle tos-a
tos-a thermobaric
thermobaric mrl
mrl abandoned
abandoned russian
russian army
army meanwhile
meanwhile destroyed
destroyed ukrainian
ukrainian civilian
civilian talk
talk suffer
suffer generation
generation tell
tell village
village near
near freed
freed occupier
occupier last
last hour
hour direction
direction thrown
thrown back
back km
km capital
capital today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod russian
russian president
president vladimir
vladimir putin
putin stress
stress unacceptable
unacceptable nature
nature military-biological
military-biological activity
activity united
united states
states phone
phone conversation
conversation luxembourg's
luxembourg's prime
prime minister
minister xavier
xavier bettel
bettel kremlin
kremlin say
say statement
statement sadly
sadly skin
skin color
color war
war victim
victim seems
seems biggest
biggest indicator
indicator solidarity
solidarity hushed
hushed west
west showing
showing solidarity
solidarity nestle
nestle announced
announced leave
leave russian
russian market
market support
support russian
russian economy
economy please
please boycott
boycott nestle
nestle product
product please
please maximum
maximum repost
repost stop
stop war
war sometimes
sometimes yellow
yellow simply
simply mean
mean yellow
yellow say
say head
head space
space agency
agency dismissing
dismissing suggestion
suggestion cosmonaut
cosmonaut joining
joining wore
wore color
color solidarity
solidarity live
live let's
let's good
good give
give away
away n
n controller
controller switch
switch another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better putin
putin suffers
suffers brandishing
brandishing leaky
leaky smoke-belching
smoke-belching carrier
carrier help
help foster
foster fraud
fraud invincible
invincible russian
russian army
army look
look trump's
trump's subservience
subservience diced
diced sham
sham juggernaut
juggernaut exposing
exposing helpless
helpless putin's
putin's corp
corp bank
bank sham
sham nuke
nuke mfa
mfa filed
filed lawsuit
lawsuit using
using convention
convention suppression
suppression financing
financing terrorism
terrorism deputy
deputy minister
minister foreign
foreign affairs
affairs case
case victory
victory recognized
recognized terrorist
terrorist country
country world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished plane
plane helicopter
helicopter destroyed
destroyed far
far according
according ukrainian
ukrainian authority
authority child
child murdered
murdered ukraine
ukraine war
war criminal
criminal putin
putin invading
invading troopsspain
troopsspain britain
britain ukraine
ukraine tolerate
tolerate child
child next
next employee
employee embassy
embassy left
left igor
igor sokol
sokol announced
announced said
said checkpoint
checkpoint completely
completely inspected
inspected car
car employee
employee kept
kept border
border night
night left
left imagine
imagine usa
usa eu
eu uk
uk canada
canada australia
australia use
use resolve
resolve resource
resource put
put crisis
crisis would
would long
long time
time ago
ago subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid video
video justice
justice reduced
reduced failed
failed state
state known
known year
year soviet
soviet war
war afghanistan
afghanistan ussr
ussr lost
lost fighter
fighter jet
jet day
day war
war russia
russia loses
loses fighter
fighter jet
jet ukrainian
ukrainian air
air force
force got
got skill
skill world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-thirds
two-thirds pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished russians
russians take
take remains
remains helicopter
helicopter sixth
sixth strike
strike equipment
equipment ukraine
ukraine military
military chernobaevka
chernobaevka moment
moment importance
importance fsb
fsb report
report mine
mine step
step along
along shore
shore expecting
expecting paratrooper
paratrooper landing
landing washed
washed storm
storm heading
heading towards
towards also
also known
known strait
strait istanbul
istanbul rate
rate new
new collection
collection war
war another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better video
video alleged
alleged hypersonic
hypersonic missile
missile sonic
sonic boom
boom obvious
obvious missile
missile fly
fly fast
fast skin
skin missile
missile glow
glow white
white hot
hot subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid people
people saying
saying pay
pay backup
backup care
care money
money initial
initial intention
intention anyway
anyway we're
we're happy
happy dump
dump data
data free
free pay
pay free
free money
money also
also we're
we're encrypting
encrypting data
data deleting
deleting backup
backup newsgasm
newsgasm latest
latest definitely
definitely uk
uk government
government time
time minister
minister update
update lovely
lovely share
share update
update quote
quote tweeting
tweeting hashtag
hashtag help
help trend
trend tit
tit lets
lets make
make sure
sure succeed
succeed go
go clicker
clicker team
team sure
sure bonus
bonus click
click est
est uk
uk guy
guy rock
rock escalating
escalating conflict
conflict putting
putting million
million child
child family
family immediate
immediate dangerunicef
dangerunicef working
working keep
keep child
child safe
safe since
since conflict
conflict began
began eight
eight year
year ago
ago please
please donate
donate today
today protect
protect child
child ukraine
ukraine house
house fly
fly flag
flag today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod beautiful
beautiful subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid employee
employee belarusian
belarusian embassy
embassy left
left last
last employee
employee crossed
crossed border
border today
today quite
quite worrying
worrying vladimir
vladimir putin
putin fascist
fascist stop
stop putin's
putin's war
war ukraine
ukraine president
president network
network dozen
dozen laboratory
laboratory military
military biological
biological programme
programme conducted
conducted guidance
guidance financial
financial support
support incl
incl experiment
experiment strain
strain anthrax
anthrax cholera
cholera deadly
deadly disease
disease siret
siret romaniajust
romaniajust across
across border
border fleeing
fleeing conflict
conflict receive
receive aid
aid warm
warm welcome
welcome deeply
deeply impressed
impressed commitment
commitment volunteer
volunteer support
support family
family humanity
humanity must
must prevail
prevail russian
russian aggression
aggression decisive
decisive impact
impact european
european security
security north
north development
development moving
moving direction
direction putin
putin certainly
certainly expect
expect membership
membership finland
finland table
table thread
thread nato
nato bloody
bloody sponsor
sponsor war
war hand
hand blood
blood ukrainian
ukrainian people
people child
child died
died workshop
workshop fellow
fellow farmer
farmer chernihiv
chernihiv seems
seems purposefully
purposefully hit
hit artillery
artillery part
part must
must stop
stop account
account withheld
withheld india
india response
response legal
legal demand
demand learn
learn reports
reports commander
commander th
th army
army southern
southern military
military district
district russian
russian federation
federation lieutenant
lieutenant general
general andrei
andrei mordvichev
mordvichev killed
killed fifth
fifth general
general week
week death
death rate
rate general
general many
many mobile
mobile phone
phone call
call world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished war
war today
today district
district enemy
enemy combat
combat helicopter
helicopter k
k shot
shot air
air defense
defense unit
unit minus
minus another
another alligator
alligator helicopter
helicopter shot
shot using
using stinger
stinger manpads
manpads mod
mod comparing
comparing inhumane
inhumane monstrous
monstrous assault
assault grotesque
grotesque insensitive
insensitive crass
crass also
also sound
sound drunk
drunk stumble
stumble delivering
delivering repulsive
repulsive claimsbrexit
claimsbrexit russian
russian offensive
offensive destabilise
destabilise west
west family
family rescued
rescued hour
hour emergency
emergency rescue
rescue support
support team
team contact
contact email
email ukrainerescuecomphone
ukrainerescuecomphone call
call text
text update
update yesterday
yesterday working
working wild
wild animal
animal shelter
shelter uanimals
uanimals evacuated
evacuated wild
wild male
male female
female tiger
tiger simba
simba shanti
shanti dnipro
dnipro petes
petes raccoon
raccoon cat
cat dog
dog lion
lion images
images uanimals
uanimals see
see soldier
soldier defend
defend empty
empty pram
pram lvivs
lvivs main
main square
square symbolise
symbolise child
child killed
killed far
far russias
russias invasion
invasion world
world contends
contends war
war chief
chief warns
warns nowhere
nowhere earth
earth people
people risk
risk war
war n
n army
army using
using nazi
nazi blitzkrieg
blitzkrieg tactic
tactic year
year soviet
soviet war
war afghanistan
afghanistan ussr
ussr lost
lost fighter
fighter jet
jet day
day war
war russia
russia loses
loses fighter
fighter jet
jet ukrainian
ukrainian air
air force
force got
got skill
skill citizen
citizen russia
russia started
started instagram
instagram copy
copy shut
shut instagram-instagramit's
instagram-instagramit's called
called rossgram
rossgram k
k subscriberslets
subscriberslets bring
bring russian
russian people
people truth
truth please
please help
help ukrainian
ukrainian kid
kid bfylqnwwwfacfltsfvwuvgksght
bfylqnwwwfacfltsfvwuvgksght xcfcacbaacaaaccebfed
xcfcacbaacaaaccebfed twxydfzmjbvnxgwhgrsejfxcnpu
twxydfzmjbvnxgwhgrsejfxcnpu :p
:p pzhkhsmmhvbyovmdhxvyps
pzhkhsmmhvbyovmdhxvyps bcfzxxgheqeuwvmvruqtatsovqgjqgw
bcfzxxgheqeuwvmvruqtatsovqgjqgw workshop
workshop fellow
fellow farmer
farmer chernihiv
chernihiv seems
seems purposefully
purposefully hit
hit artillery
artillery opinion
opinion david
david von
von drehle
drehle war
war ukraine
ukraine proving
proving russia
russia longer
longer superpower
superpower globallogic
globallogic stand
stand update
update ground
ground ukraine's
ukraine's war
war russia
russia tech
tech news
news podcast
podcast world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished new
new forum
forum mysteries
mysteries mystics
mystics end
end time
time come
come discus
discus current
current event
event prophecy
prophecy mystery
mystery sign
sign free
free another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better bleeding
bleeding bleeding
bleeding many
many country
country asking
asking help
help long
long time
time government
government medium
medium even
even bother
bother news
news coverage
coverage ask
ask send
send food
food money
money gun
gun free
free mazi
mazi nnamdi
nnamdi kanu
kanu well
well blocked
blocked russian
russian embassy
embassy tweeting
tweeting info
info highly
highly satisfactory
satisfactory complimentary
complimentary lets
lets make
make world
world better
better place
place 
 support
support humanitarian
humanitarian aid
aid sent
sent across
across click
click tip
tip support
support fake
fake original
original video
video climate
climate protest
protest austriahere
austriahere original
original uploaded
uploaded war
war started
started unrelated
unrelated world's
world's attention
attention turned
turned unleashed
unleashed ethiopian
ethiopian eritrean
eritrean force
force unimpeded
unimpeded injustice
injustice anywhere
anywhere threat
threat justice
justice everywhere
everywhere world's
world's compassion
compassion extend
extend innocent
innocent civilian
civilian tigray
tigray absence
absence compassion
compassion int'l
int'l community
community towards
towards suffering
suffering become
become even
even evident
evident desire
desire stop
stop war
war selectively
selectively demonstrated
demonstrated towards
towards ignoring
ignoring strange
strange participate
participate syria
syria brought
brought butcher
butcher practice
practice civilian
civilian 
 women
women child
child attacking
attacking community
community show
show solidarity
solidarity aurora
aurora rally
rally via
via zelensky
zelensky international
international symbol
symbol fight
fight freedom
freedom two
two russian
russian soldier
soldier pinned
pinned waving
waving see
see quadrocopter
quadrocopter subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
