Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
parent,"('parent',)",Not a Polysemy,an organism (plant or animal) from which younger ones are obtained,parent.n.02
matt,"('flat', 'mat', 'matt', 'matte', 'matted')",Polysemy,not reflecting light; not glossy,flat.s.14
invasion,"('invasion',)",Not a Polysemy,the act of invading; the act of an army that invades for conquest or plunder,invasion.n.01
speed,"('rush', 'hotfoot', 'hasten', 'hie', 'speed', 'race', 'pelt_along', 'rush_along', 'cannonball_along', 'bucket_along', 'belt_along', 'step_on_it')",Polysemy,move fast,rush.v.01
outlet,"('exit', 'issue', 'outlet', 'way_out')",Polysemy,an opening that permits escape or release,exit.n.01
asks,"('ask',)",Not a Polysemy,make a request or demand for something to somebody,ask.v.02
fundraiser,"('fundraiser',)",Not a Polysemy,someone who solicits financial contributions,fundraiser.n.01
distributes,"('spread', 'distribute')",Polysemy,distribute or disperse widely,spread.v.01
announce,"('announce',)",Not a Polysemy,give the names of,announce.v.03
labor,"('labor', 'labour', 'toil')",Polysemy,productive work (especially physical work done for wages),labor.n.02
world,"('world',)",Not a Polysemy,a part of the earth that can be considered separately,world.n.06
went,"('go',)",Not a Polysemy,be abolished or discarded,go.v.09
jakarta,"('Jakarta', 'Djakarta', 'capital_of_Indonesia')",Polysemy,capital and largest city of Indonesia; located on the island of Java; founded by the Dutch in 17th century,jakarta.n.01
tolstoy,"('Tolstoy', 'Leo_Tolstoy', 'Count_Lev_Nikolayevitch_Tolstoy')",Polysemy,Russian author remembered for two great novels (1828-1910),tolstoy.n.01
touch,"('touch',)",Not a Polysemy,cause to be in brief contact with,touch.v.08
let,"('let',)",Not a Polysemy,actively cause something to happen,let.v.02
variety,"('diverseness', 'diversity', 'multifariousness', 'variety')",Polysemy,noticeable heterogeneity,diverseness.n.01
stuffed,"('farce', 'stuff')",Polysemy,fill with a stuffing while cooking,farce.v.01
symbolic,"('symbolic', 'symbolical')",Polysemy,relating to or using or proceeding by means of symbols,symbolic.a.01
centre,"('center', 'centre')",Polysemy,move into the center,center.v.03
flowing,"('flow',)",Not a Polysemy,cover or swamp with water,flow.v.06
clear,"('clear',)",Not a Polysemy,remove (people) from a building,clear.v.22
conquer,"('suppress', 'stamp_down', 'inhibit', 'subdue', 'conquer', 'curb')",Polysemy,to put down by force or authority,suppress.v.01
coordinate,"('coordinate',)",Not a Polysemy,"bring into common action, movement, or condition",coordinate.v.02
painter,"('painter',)",Not a Polysemy,an artist who paints,painter.n.01
explodes,"('explode',)",Not a Polysemy,drive from the stage by noisy disapproval,explode.v.07
laid,"('laid', 'set')",Polysemy,set down according to a plan:,laid.s.01
delivering,"('surrender', 'cede', 'deliver', 'give_up')",Polysemy,relinquish possession or control over,surrender.v.02
sends,"('air', 'send', 'broadcast', 'beam', 'transmit')",Polysemy,"broadcast over the airwaves, as in radio or television",air.v.03
unlike,"('unlike',)",Not a Polysemy,not equal in amount,unlike.a.02
sanction,"('sanction',)",Not a Polysemy,give authority or permission to,sanction.v.02
reduced,"('shrink', 'reduce')",Polysemy,reduce in size; reduce physically,shrink.v.03
exercise,"('exercise', 'practice', 'drill', 'practice_session', 'recitation')",Polysemy,systematic training by multiple repetitions,exercise.n.03
public,"('public',)",Not a Polysemy,not private; open to or concerning the people as a whole,public.a.01
regional,"('regional',)",Not a Polysemy,related or limited to a particular region,regional.s.02
table,"('table',)",Not a Polysemy,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,table.n.02
frame,"('ensnare', 'entrap', 'frame', 'set_up')",Polysemy,take or catch as if in a snare or trap,ensnare.v.01
commendable,"('admirably', 'laudably', 'praiseworthily', 'commendable')",Polysemy,in an admirable manner,admirably.r.01
seize,"('seize',)",Not a Polysemy,take or capture by force,seize.v.02
keeping,"('keep',)",Not a Polysemy,have as a supply,keep.v.19
protesters,"('dissenter', 'dissident', 'protester', 'objector', 'contestant')",Polysemy,a person who dissents from some established policy,dissenter.n.01
shell,"('shell', 'racing_shell')",Polysemy,a very light narrow racing boat,shell.n.07
pod,"('pod',)",Not a Polysemy,"produce pods, of plants",pod.v.02
ever,"('ever', 'of_all_time')",Polysemy,at any time,ever.r.01
depart,"('leave', 'depart', 'pull_up_stakes')",Polysemy,remove oneself from an association with or participation in,leave.v.08
spelling,"('spell',)",Not a Polysemy,take turns working,spell.v.06
clear,"('clean', 'clear', 'light', 'unclouded')",Polysemy,(of sound or color) free from anything that dulls or dims,clean.s.03
destroy,"('destroy', 'put_down')",Polysemy,put (an animal) to death,destroy.v.04
wests,"('west', 'due_west', 'westward', 'W')",Polysemy,the cardinal compass point that is a 270 degrees,west.n.02
pulled,"('perpetrate', 'commit', 'pull')",Polysemy,"perform an act, usually with a negative connotation",perpetrate.v.01
backing,"('backing', 'mount')",Polysemy,something forming a back that is added for strengthening,backing.n.02
face,"('front', 'look', 'face')",Polysemy,"be oriented in a certain direction, often with respect to another reference point; be opposite to",front.v.01
footstep,"('footstep', 'pace', 'step', 'stride')",Polysemy,the distance covered by a step,footstep.n.03
jordan,"('Jordan', 'Hashemite_Kingdom_of_Jordan')",Polysemy,an Arab kingdom in southwestern Asia on the Red Sea,jordan.n.02
judas,"('Judas', 'Judas_Iscariot')",Polysemy,(New Testament) the Apostle who betrayed Jesus to his enemies for 30 pieces of silver,judas.n.02
withholding,"('withhold', 'deduct', 'recoup')",Polysemy,retain and refrain from disbursing; of payments,withhold.v.02
claim,"('call', 'claim')",Polysemy,a demand especially in the phrase,call.n.04
offered,"('extend', 'offer')",Polysemy,make available; provide,extend.v.04
karen,"('Karen', 'Karenic')",Polysemy,the Tibeto-Burman language spoken in the Thailand and Burmese borderlands,karen.n.01
faqs,"('FAQ',)",Not a Polysemy,a list of questions that are frequently asked (about a given topic) along with their answers,faq.n.01
profession,"('profession',)",Not a Polysemy,affirmation of acceptance of some religion or faith,profession.n.04
dominated,"('dominated',)",Not a Polysemy,controlled or ruled by superior authority or power,dominated.s.01
format,"('format',)",Not a Polysemy,determine the arrangement of (data) for storage and display (in computer science),format.v.02
outlet,"('wall_socket', 'wall_plug', 'electric_outlet', 'electrical_outlet', 'outlet', 'electric_receptacle')",Polysemy,receptacle providing a place in a wiring system where current can be taken to run electrical devices,wall_socket.n.01
laugh,"('laugh', 'laughter')",Polysemy,the sound of laughing,laugh.n.01
condensed,"('condense',)",Not a Polysemy,cause a gas or vapor to change into a liquid,condense.v.04
strongest,"('potent', 'strong', 'stiff')",Polysemy,"having a strong physiological or chemical effect; ; ; ,",potent.a.03
focused,"('concenter', 'concentre', 'focalize', 'focalise', 'focus')",Polysemy,bring into focus or alignment; to converge or cause to converge; of ideas or emotions,concenter.v.01
recognition,"('recognition', 'identification')",Polysemy,the process of recognizing something or someone by remembering,recognition.n.02
climate,"('climate', 'mood')",Polysemy,the prevailing psychological state,climate.n.02
economically,"('economically',)",Not a Polysemy,with respect to economic science,economically.r.01
seeing,"('see',)",Not a Polysemy,deliberate or decide,see.v.18
private,"('secret', 'private')",Polysemy,not expressed,secret.s.05
saved,"('salvage', 'salve', 'relieve', 'save')",Polysemy,"save from ruin, destruction, or harm",salvage.v.01
son,"('Son', 'Word', 'Logos')",Polysemy,the divine word of God; the second person in the Trinity (incarnate in Jesus),son.n.02
channel,"('channel', 'transmission_channel')",Polysemy,a path over which electrical signals can pass,channel.n.01
collected,"('collect', 'pick_up', 'gather_up', 'call_for')",Polysemy,gather or collect,collect.v.05
exposing,"('expose',)",Not a Polysemy,expose or make accessible to some action or influence,expose.v.01
place,"('station', 'post', 'send', 'place')",Polysemy,assign to a station,station.v.01
singularly,"('singularly',)",Not a Polysemy,in a singular manner or to a singular degree,singularly.r.01
fell,"('fall',)",Not a Polysemy,come out; issue,fall.v.28
somehow,"('somehow',)",Not a Polysemy,for some unspecified reason,somehow.r.02
alliance,"('confederation', 'alliance')",Polysemy,the act of forming an alliance or confederation,confederation.n.03
drop,"('drop',)",Not a Polysemy,a central depository where things can be left or picked up,drop.n.08
dissident,"('dissenter', 'dissident', 'protester', 'objector', 'contestant')",Polysemy,a person who dissents from some established policy,dissenter.n.01
park,"('parking_lot', 'car_park', 'park', 'parking_area')",Polysemy,a lot where cars are parked,parking_lot.n.01
settle,"('settle',)",Not a Polysemy,end a legal dispute by arriving at a settlement,settle.v.13
gates,"('gate',)",Not a Polysemy,control with a valve or other device that functions like a gate,gate.v.02
low,"('low', 'low-pitched')",Polysemy,used of sounds and voices; low in pitch or frequency,low.a.05
forces,"('wedge', 'squeeze', 'force')",Polysemy,squeeze like a wedge into a tight space,wedge.v.02
dirtier,"('dirty', 'ill-gotten')",Polysemy,obtained illegally or by improper means,dirty.s.08
show,"('show',)",Not a Polysemy,"give evidence of, as of records",show.v.10
commonwealth,"('commonwealth',)",Not a Polysemy,the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico),commonwealth.n.01
service,"('service',)",Not a Polysemy,an act of help or assistance,service.n.02
registration,"('registration',)",Not a Polysemy,(music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops,registration.n.04
held,"('hold',)",Not a Polysemy,hold the attention of,hold.v.22
went,"('move', 'go')",Polysemy,have a turn; make one's move in a game,move.v.15
base,"('base',)",Not a Polysemy,(electronics) the part of a transistor that separates the emitter from the collector,base.n.20
places,"('place',)",Not a Polysemy,proper or appropriate position or location,place.n.13
loses,"('lose',)",Not a Polysemy,fail to get or obtain,lose.v.08
setting,"('set_up', 'lay_out', 'set')",Polysemy,get ready for a particular purpose or event,set_up.v.04
catch,"('catch',)",Not a Polysemy,be struck or affected by,catch.v.12
sowing,"('inseminate', 'sow', 'sow_in')",Polysemy,place seeds in or on (the ground),inseminate.v.01
give,"('give', 'apply')",Polysemy,give or convey physically,give.v.20
thus,"('frankincense', 'olibanum', 'gum_olibanum', 'thus')",Polysemy,an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation,frankincense.n.01
inside,"('inside',)",Not a Polysemy,relating to or being on the side closer to the center or within a defined space,inside.a.01
news,"('newsworthiness', 'news')",Polysemy,the quality of being sufficiently interesting to be reported in news bulletins,newsworthiness.n.01
wanted,"('want',)",Not a Polysemy,"be without, lack; be deficient in",want.v.05
counter,"('counter', 'tabulator')",Polysemy,a calculator that keeps a record of the number of times something happens,counter.n.03
plane,"('plane', 'sheet')",Polysemy,(mathematics) an unbounded two-dimensional shape,plane.n.02
conduct,"('demeanor', 'demeanour', 'behavior', 'behaviour', 'conduct', 'deportment')",Polysemy,(behavioral attributes) the way a person behaves toward other people,demeanor.n.01
hold,"('hold', 'take_hold')",Polysemy,have or hold in one's hands or grip,hold.v.02
imp,"('elf', 'hob', 'gremlin', 'pixie', 'pixy', 'brownie', 'imp')",Polysemy,(folklore) fairies that are somewhat mischievous,elf.n.01
warm,"('warm',)",Not a Polysemy,of a seeker; near to the object sought,warm.s.10
company,"('company', 'companion', 'accompany', 'keep_company')",Polysemy,be a companion to somebody,company.v.01
select,"('choice', 'prime', 'prize', 'quality', 'select')",Polysemy,of superior grade,choice.s.01
fill,"('fill', 'fill_up', 'make_full')",Polysemy,"make full, also in a metaphorical sense",fill.v.01
belgium,"('Belgium', 'Kingdom_of_Belgium', 'Belgique')",Polysemy,a monarchy in northwestern Europe; headquarters for the European Union and for the North Atlantic Treaty Organization,belgium.n.01
unloaded,"('unloaded',)",Not a Polysemy,(of weapons) not charged with ammunition,unloaded.a.01
wolverine,"('Michigander', 'Wolverine')",Polysemy,a native or resident of Michigan,michigander.n.01
traffic,"('dealings', 'traffic')",Polysemy,social or verbal interchange (usually followed by `with'),dealings.n.01
spot,"('position', 'post', 'berth', 'office', 'spot', 'billet', 'place', 'situation')",Polysemy,a job in an organization,position.n.06
slave,"('slave',)",Not a Polysemy,someone entirely dominated by some influence or person,slave.n.03
rich,"('rich',)",Not a Polysemy,of great worth or quality,rich.s.03
give,"('give', 'spring', 'springiness')",Polysemy,the elasticity of something that can be stretched and returns to its original length,give.n.01
ground,"('earth', 'ground')",Polysemy,the loose soft material that makes up a large part of the land surface,earth.n.02
hardest,"('hard',)",Not a Polysemy,to the full extent possible; all the way,hard.r.10
cast,"('project', 'cast', 'contrive', 'throw')",Polysemy,put or send forth,project.v.10
arise,"('get_up', 'turn_out', 'arise', 'uprise', 'rise')",Polysemy,get up and out of bed,get_up.v.02
away,"('away', 'out')",Polysemy,from one's possession,away.r.02
playing,"('play',)",Not a Polysemy,bet or wager (money),play.v.10
foot,"('foot',)",Not a Polysemy,a member of a surveillance team who works on foot or rides as a passenger,foot.n.08
lynched,"('lynch',)",Not a Polysemy,kill without legal sanction,lynch.v.01
lights,"('alight', 'light', 'perch')",Polysemy,"to come to rest, settle",alight.v.01
pull,"('pull',)",Not a Polysemy,take away,pull.v.17
draw,"('draw',)",Not a Polysemy,bring or lead someone to a certain action or condition,draw.v.16
came,"('do', 'fare', 'make_out', 'come', 'get_along')",Polysemy,proceed or get along,do.v.04
trains,"('educate', 'school', 'train', 'cultivate', 'civilize', 'civilise')",Polysemy,teach or refine to be discriminative in taste or judgment,educate.v.03
sustain,"('hold', 'support', 'sustain', 'hold_up')",Polysemy,be the physical support of; carry the weight of,hold.v.10
part,"('separate', 'part', 'split')",Polysemy,go one's own way; move apart,separate.v.09
engineer,"('mastermind', 'engineer', 'direct', 'organize', 'organise', 'orchestrate')",Polysemy,plan and direct (a complex undertaking),mastermind.v.01
setting,"('setting', 'scene')",Polysemy,the context and environment in which something is set,setting.n.01
ruble,"('ruble', 'rouble')",Polysemy,the basic unit of money in Russia,ruble.n.02
bigger,"('boastful', 'braggart', 'bragging', 'braggy', 'big', 'cock-a-hoop', 'crowing', 'self-aggrandizing', 'self-aggrandising')",Polysemy,exhibiting self-importance,boastful.s.01
run,"('scat', 'run', 'scarper', 'turn_tail', 'lam', 'run_away', 'hightail_it', 'bunk', 'head_for_the_hills', 'take_to_the_woods', 'escape', 'fly_the_coop', 'break_away')",Polysemy,flee; take to one's heels; cut and run,scat.v.01
hushed,"('hush',)",Not a Polysemy,become quiet or still; fall silent,hush.v.01
roman,"('Roman',)",Not a Polysemy,a resident of modern Rome,roman.n.01
rush,"('rush',)",Not a Polysemy,grasslike plants growing in wet places and having cylindrical often hollow stems,rush.n.03
pull,"('pull',)",Not a Polysemy,hit in the direction that the player is facing when carrying through the swing,pull.v.13
master,"('passkey', 'passe-partout', 'master_key', 'master')",Polysemy,key that secures entrance everywhere,passkey.n.01
directly,"('directly', 'flat', 'straight')",Polysemy,in a forthright manner; candidly or frankly,directly.r.04
centre,"('center', 'centre', 'center_of_attention', 'centre_of_attention')",Polysemy,the object upon which interest and attention focuses,center.n.06
closing,"('closing',)",Not a Polysemy,final or ending,closing.a.01
entering,"('record', 'enter', 'put_down')",Polysemy,make a record of; set down in permanent form,record.v.01
disgusted,"('disgusted', 'fed_up', 'sick', 'sick_of', 'tired_of')",Polysemy,having a strong distaste from surfeit,disgusted.s.01
hold,"('hold',)",Not a Polysemy,keep from departing,hold.v.28
bound,"('bound',)",Not a Polysemy,confined by bonds,bound.a.01
picture,"('mental_picture', 'picture', 'impression')",Polysemy,a clear and telling mental image,mental_picture.n.01
word,"('Bible', 'Christian_Bible', 'Book', 'Good_Book', 'Holy_Scripture', 'Holy_Writ', 'Scripture', 'Word_of_God', 'Word')",Polysemy,the sacred writings of the Christian religions,bible.n.01
new,"('new', 'unexampled')",Polysemy,having no previous example or precedent or parallel,new.s.04
seen,"('attend', 'take_care', 'look', 'see')",Polysemy,take charge of or deal with,attend.v.02
manipulate,"('manipulate', 'keep_in_line', 'control')",Polysemy,"control (others or oneself) or influence skillfully, usually to one's advantage",manipulate.v.05
visa,"('visa',)",Not a Polysemy,an endorsement made in a passport that allows the bearer to enter the country issuing it,visa.n.01
encircle,"('encircle', 'circle')",Polysemy,form a circle around,encircle.v.01
flying,"('fly',)",Not a Polysemy,change quickly from one emotional state to another,fly.v.07
remark,"('comment', 'notice', 'remark', 'point_out')",Polysemy,make or write a comment on,comment.v.01
run,"('political_campaign', 'campaign', 'run')",Polysemy,a race between candidates for elective office,political_campaign.n.01
scores,"('mark', 'grade', 'score')",Polysemy,a number or letter indicating quality (especially of a student's performance),mark.n.01
extend,"('carry', 'extend')",Polysemy,continue or extend,carry.v.09
release,"('turn', 'release')",Polysemy,let (something) fall or spill from a container,turn.v.08
shirt,"('shirt',)",Not a Polysemy,a garment worn on the upper half of the body,shirt.n.01
passage,"('enactment', 'passage')",Polysemy,the passing of a law by a legislative body,enactment.n.01
award,"('award', 'accolade', 'honor', 'honour', 'laurels')",Polysemy,a tangible symbol signifying approval or distinction,award.n.02
cocoa,"('cocoa',)",Not a Polysemy,powder of ground roasted cacao beans with most of the fat removed,cocoa.n.02
instinct,"('instinct', 'inherent_aptitude')",Polysemy,inborn pattern of behavior often responsive to specific stimuli,instinct.n.01
explain,"('explain', 'explicate')",Polysemy,make plain and comprehensible,explain.v.01
stone,"('Stone', 'Oliver_Stone')",Polysemy,United States filmmaker (born in 1946),stone.n.08
big,"('big',)",Not a Polysemy,in a major way,big.r.04
boasted,"('boast', 'tout', 'swash', 'shoot_a_line', 'brag', 'gas', 'blow', 'bluster', 'vaunt', 'gasconade')",Polysemy,show off,boast.v.01
ran,"('run',)",Not a Polysemy,"travel rapidly, by any (unspecified) means",run.v.34
allowed,"('allow', 'appropriate', 'earmark', 'set_aside', 'reserve')",Polysemy,give or assign a resource to a particular person or cause,allow.v.04
spill,"('spill', 'tumble', 'fall')",Polysemy,a sudden drop from an upright position,spill.n.04
pass,"('pass', 'passing_play', 'passing_game', 'passing')",Polysemy,(American football) a play that involves one player throwing the ball to a teammate,pass.n.03
pray,"('pray',)",Not a Polysemy,"address a deity, a prophet, a saint or an object of worship; say a prayer",pray.v.01
receive,"('receive', 'get', 'find', 'obtain', 'incur')",Polysemy,receive a specified treatment (abstract),receive.v.02
permanent,"('permanent_wave', 'permanent', 'perm')",Polysemy,a series of waves in the hair made by applying heat and chemicals,permanent_wave.n.01
counterattack,"('counterattack', 'counterplay')",Polysemy,(chess) an attack that is intended to counter the opponent's advantage in another part of the board,counterattack.n.02
propagandist,"('propagandist', 'propagandistic')",Polysemy,of or relating to or characterized by propaganda,propagandist.a.01
uranium,"('uranium', 'U', 'atomic_number_92')",Polysemy,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons,uranium.n.01
draft,"('draft', 'draught', 'drawing')",Polysemy,the act of moving a load by drawing or pulling,draft.n.11
poles,"('pole',)",Not a Polysemy,a long fiberglass sports implement used for pole vaulting,pole.n.09
ruling,"('rule', 'decree')",Polysemy,decide with authority,rule.v.02
interference,"('interference',)",Not a Polysemy,(American football) blocking a player's path with your body,interference.n.04
mention,"('mention', 'advert', 'bring_up', 'cite', 'name', 'refer')",Polysemy,make reference to,mention.v.01
conflict,"('conflict', 'struggle', 'battle')",Polysemy,an open clash between two opposing groups (or individuals); --Thomas Paine,conflict.n.01
bath,"('bathtub', 'bathing_tub', 'bath', 'tub')",Polysemy,a relatively large open container that you fill with water and use to wash the body,bathtub.n.01
israel,"('Israel', 'State_of_Israel', 'Yisrael', 'Zion', 'Sion')",Polysemy,Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine,israel.n.01
ahead,"('ahead',)",Not a Polysemy,to a different or a more advanced time (meaning advanced either toward the present or toward the future),ahead.r.06
deep,"('cryptic', 'cryptical', 'deep', 'inscrutable', 'mysterious', 'mystifying')",Polysemy,of an obscure nature; ; ; ; - Rachel Carson,cryptic.s.01
meeting,"('merging', 'meeting', 'coming_together')",Polysemy,the act of joining together as one,merging.n.01
turn,"('turn', 'play')",Polysemy,(game) the activity of doing something in an agreed succession,turn.n.03
shifted,"('shift',)",Not a Polysemy,use a shift key on a keyboard,shift.v.10
challenged,"('challenge', 'take_exception')",Polysemy,raise a formal objection in a court of law,challenge.v.04
sink,"('sink',)",Not a Polysemy,cause to sink,sink.v.02
pound,"('thump', 'pound', 'poke')",Polysemy,"hit hard with the hand, fist, or some heavy instrument",thump.v.03
safety,"('condom', 'rubber', 'safety', 'safe', 'prophylactic')",Polysemy,contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse,condom.n.01
flags,"('flag',)",Not a Polysemy,communicate or signal with a flag,flag.v.01
gotten,"('get', 'receive')",Polysemy,receive as a retribution or punishment,get.v.25
meaning,"('mean',)",Not a Polysemy,destine or designate for a certain purpose,mean.v.07
come,"('fall', 'come')",Polysemy,"come under, be classified or included",fall.v.04
blocked,"('block',)",Not a Polysemy,stamp or emboss a title or design on a book with a block,block.v.08
facing,"('facing', 'veneer')",Polysemy,an ornamental coating to a building,facing.n.02
ticket,"('slate', 'ticket')",Polysemy,a list of candidates nominated by a political party to run for election to public offices,slate.n.04
broadcast,"('circulate', 'circularize', 'circularise', 'distribute', 'disseminate', 'propagate', 'broadcast', 'spread', 'diffuse', 'disperse', 'pass_around')",Polysemy,cause to become widely known,circulate.v.02
bomber,"('bomber', 'grinder', 'hero', 'hero_sandwich', 'hoagie', 'hoagy', 'Cuban_sandwich', 'Italian_sandwich', 'poor_boy', 'sub', 'submarine', 'submarine_sandwich', 'torpedo', 'wedge', 'zep')",Polysemy,a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,bomber.n.03
running,"('carry', 'run')",Polysemy,include as the content; broadcast or publicize,carry.v.15
conference,"('conference', 'group_discussion')",Polysemy,a discussion among participants who have an agreed (serious) topic,conference.n.03
urge,"('urge', 'urge_on', 'press', 'exhort')",Polysemy,force or impel in an indicated direction,urge.v.01
partner,"('collaborator', 'cooperator', 'partner', 'pardner')",Polysemy,an associate in an activity or endeavor or sphere of common interest,collaborator.n.03
sudan,"('Sudan', 'Republic_of_the_Sudan', 'Soudan')",Polysemy,a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956,sudan.n.01
drones,"('monotone', 'drone', 'droning')",Polysemy,an unchanging intonation,monotone.n.01
choosing,"('choose', 'prefer', 'opt')",Polysemy,select as an alternative over another,choose.v.02
reef,"('Witwatersrand', 'Rand', 'Reef')",Polysemy,a rocky region in the southern Transvaal in northeastern South Africa; contains rich gold deposits and coal and manganese,witwatersrand.n.01
held,"('keep', 'maintain', 'hold')",Polysemy,"keep in a certain state, position, or activity; e.g.,",keep.v.01
bound,"('bound',)",Not a Polysemy,"held with another element, substance or material in chemical or physical union",bound.a.02
took,"('take', 'accept')",Polysemy,make use of or accept for some purpose,take.v.20
snapping,"('snap', 'crack')",Polysemy,make a sharp sound,snap.v.06
secret,"('privy', 'secluded', 'secret')",Polysemy,hidden from general view or use,privy.s.01
specified,"('specify', 'particularize', 'particularise', 'specialize', 'specialise')",Polysemy,be specific about,specify.v.04
strong,"('strong',)",Not a Polysemy,having strength or power greater than average or expected,strong.a.01
solemnity,"('sedateness', 'staidness', 'solemnity', 'solemness')",Polysemy,a trait of dignified seriousness,sedateness.n.01
h,"(""Planck's_constant"", 'h')",Polysemy,the constant of proportionality relating the energy of a photon to its frequency; approximately 6.626 x 10^-34 joule-second,planck's_constant.n.01
showing,"('prove', 'demonstrate', 'establish', 'show', 'shew')",Polysemy,"establish the validity of something, as by an example, explanation or experiment",prove.v.02
facilitated,"('help', 'facilitate')",Polysemy,be of use,help.v.03
best,"('good', 'sound')",Polysemy,in excellent physical condition,good.s.17
fill,"('fill', 'take', 'occupy')",Polysemy,"assume, as of positions or roles",fill.v.04
read,"('read',)",Not a Polysemy,"look at, interpret, and say out loud something that is written or printed",read.v.03
user,"('exploiter', 'user')",Polysemy,a person who uses something or someone selfishly or unethically,exploiter.n.01
javelin,"('javelin',)",Not a Polysemy,an athletic competition in which a javelin is thrown as far as possible,javelin.n.01
flight,"('flight', 'flight_of_stairs', 'flight_of_steps')",Polysemy,a stairway (set of steps) between one floor or landing and the next,flight.n.03
time,"('time',)",Not a Polysemy,adjust so that a force is applied and an action occurs at the desired time,time.v.05
geting,"('perplex', 'vex', 'stick', 'get', 'puzzle', 'mystify', 'baffle', 'beat', 'pose', 'bewilder', 'flummox', 'stupefy', 'nonplus', 'gravel', 'amaze', 'dumbfound')",Polysemy,be a mystery or bewildering to,perplex.v.01
tears,"('tear',)",Not a Polysemy,to separate or be separated by force,tear.v.02
knockout,"('knockout', 'KO', 'kayo')",Polysemy,a blow that renders the opponent unconscious,knockout.n.02
seemed,"('look', 'appear', 'seem')",Polysemy,give a certain impression or have a certain outward aspect,look.v.02
article,"('article',)",Not a Polysemy,nonfictional prose forming an independent part of a publication,article.n.01
court,"('court',)",Not a Polysemy,a specially marked horizontal area within which a game is played,court.n.04
